id, start, end, time
0,1391625105,1391625106,1
2,1391625126,1391625126,0
3,1391625127,1391625131,4
1,1391625106,1391625147,41
4,1391625130,1391625147,17
5,1391625132,1391625215,83
6,1391625222,1391625246,24
7,1391625222,1391625246,24
8,1391625239,1391625286,47
9,1391625251,1391625286,35
11,1391625296,1391625297,1
12,1391625314,1391625322,8
13,1391625314,1391625326,12
14,1391625325,1391625333,8
10,1391625296,1391625333,37
15,1391625343,1391625353,10
16,1391625353,1391625353,0
17,1391625391,1391625501,110
19,1391625518,1391625528,10
18,1391625504,1391625542,38
21,1391625842,1391625847,5
20,1391625838,1391625847,9
22,1391625850,1391625964,114
23,1391625966,1391626013,47
24,1391625998,1391626014,16
25,1391626002,1391626014,12
26,1391626014,1391626017,3
27,1391626017,1391626019,2
28,1391626020,1391626021,1
30,1391626031,1391626052,21
31,1391626043,1391626053,10
34,1391626056,1391626056,0
35,1391626057,1391626079,22
32,1391626052,1391626079,27
29,1391626031,1391626082,51
33,1391626053,1391626082,29
36,1391626091,1391626174,83
37,1391626246,1391626292,46
39,1391626250,1391626386,136
40,1391626389,1391626392,3
38,1391626250,1391626394,144
42,1391626398,1391626399,1
43,1391626404,1391626408,4
41,1391626398,1391626449,51
44,1391626452,1391626492,40
47,1391626520,1391626520,0
45,1391626459,1391626520,61
46,1391626471,1391626521,50
49,1391626543,1391626592,49
50,1391626547,1391626592,45
48,1391626523,1391626592,69
51,1391626600,1391626600,0
53,1391626600,1391626605,5
55,1391626657,1391626668,11
52,1391626600,1391626668,68
54,1391626617,1391626670,53
56,1391626675,1391626766,91
57,1391626710,1391626793,83
58,1391626795,1391626802,7
61,1391626871,1391626884,13
59,1391626808,1391626884,76
60,1391626813,1391626887,74
62,1391627090,1391627096,6
63,1391627099,1391627123,24
65,1391627354,1391627358,4
64,1391627184,1391627358,174
66,1391627399,1391627566,167
67,1391628369,1391628383,14
68,1391628377,1391628383,6
